,No_of_features,Mean_score,SD_score
0,1,0.49767112114938195,0.05186704437688015
0,2,0.5291285526068135,0.04354033947007334
0,3,0.5609297948428382,0.07639059778720199
0,4,0.5793977037455298,0.036810671291959404
0,5,0.5947462199636112,0.06166226793880593
0,6,0.6235660957400089,0.06060584009623017
0,7,0.6283694083694085,0.05182085046871749
0,8,0.6397440240918502,0.06730426963054585
0,9,0.6774527887571365,0.06463853376521912
0,10,0.6980061484409311,0.06926145705941086
0,11,0.6963774389861347,0.09032897961869531
0,12,0.679691323169584,0.09753779687261459
0,13,0.6946245059288538,0.05492904187950574
0,14,0.6972470042035258,0.06564634864281187
0,15,0.6818972332015811,0.0893095879121322
0,16,0.6916155342242298,0.06743866319841473
0,17,0.6921676391241609,0.05700887389636757
0,18,0.6968053202835811,0.06667542140350531
0,19,0.6780048936570676,0.06492414671863847
0,20,0.6946245059288537,0.07455659006046504
0,21,0.6838998682476943,0.05696162675212018
0,22,0.6735064935064934,0.07752734953160684
0,23,0.666798418972332,0.06073316293063913
0,24,0.6801731601731602,0.09577961281952153
0,25,0.6837618420227116,0.06338110134199566
0,26,0.6772470042035259,0.06331492666157566
0,27,0.6756182947487295,0.07681706162932732
0,28,0.686824769433465,0.07025565285499215
0,29,0.6808494886755756,0.07652798326897214
0,30,0.6860405295187905,0.08138719410533633
0,31,0.7062187088274043,0.07492920837318733
0,32,0.7011267959094046,0.07535397588370463
0,33,0.6869100947361817,0.07864210873588307
0,34,0.6795921952443691,0.0811709209232309
0,35,0.6795256916996049,0.07102257861536583
0,36,0.6776748855009724,0.09293866441811882
0,37,0.6850718363761842,0.07906623113698724
0,38,0.6817328565154652,0.08922037982989951
0,39,0.6882878474182821,0.08199254836508285
0,40,0.67041470606688,0.05448339455544316
0,41,0.6629198820503168,0.095425757229714
0,42,0.666246314072401,0.07016497048578933
0,43,0.6842311311876529,0.08357134483658646
0,44,0.6634719869502479,0.08840863066272699
0,45,0.6739067695589436,0.06521466047777061
0,46,0.6981040215822825,0.0772470899116449
0,47,0.6741702741702742,0.0913202362770701
0,48,0.6668122215948302,0.06340705267913989
0,49,0.6628659263441872,0.06510031391275214
0,50,0.6758692515214254,0.09153298196990656
