,MI_mean,MI_std,RF_mean,RF_std,F_mean,F_std
mask2_T1C_firstorder_Skewness,0.32790473,0.046412219,0.010618759,0.008202782,36.81772531,8.882844997
mask2_T2_glrlm_GrayLevelNonUniformity,0.305605646,0.044921099,0.003879741,0.00554413,19.49171867,5.504020752
mask2_T1C_ngtdm_Busyness,0.298729434,0.04431419,0.006101037,0.006831806,26.87863745,6.567453105
mask2_T2_shape_VoxelVolume,0.291398173,0.044315707,0.003357483,0.00468417,17.41330989,5.765792552
mask2_T1C_firstorder_RootMeanSquared,0.289244597,0.044083027,0.004158434,0.004406541,19.01858977,7.084671437
mask2_T2_shape_SurfaceArea,0.288548119,0.045052952,0.006815918,0.008144233,29.61190444,7.259967908
mask1_T2_shape_Sphericity,0.287284892,0.043199711,0.005563511,0.006967264,22.60593665,6.901155629
mask2_T1C_glcm_ClusterShade,0.285744473,0.043819013,0.006994019,0.006255189,26.33898778,9.641664166
mask2_T1C_ngtdm_Coarseness,0.283350165,0.043693713,0.00525963,0.006757456,1.029512753,1.637535821
mask2_T2_shape_MeshVolume,0.282466273,0.044928166,0.003640042,0.00522081,17.39499481,5.761334653
mask2_T2_glszm_LargeAreaLowGrayLevelEmphasis,0.281775954,0.045619803,0.001934829,0.002792681,2.273391106,1.506614524
mask2_T2_firstorder_10Percentile,0.281576844,0.043925822,0.005615599,0.006113797,6.432109451,3.361823224
mask2_T2_shape_Maximum2DDiameterSlice,0.28065854,0.044424785,0.005545956,0.006699327,18.72389347,6.889820494
mask1_T2_firstorder_Uniformity,0.27766705,0.047435085,0.002719977,0.003944775,10.44186684,3.807954145
mask2_T1C_glrlm_ShortRunHighGrayLevelEmphasis,0.277291296,0.043652907,0.003348144,0.004061293,15.92752325,5.746674884
mask2_T2_glrlm_GrayLevelVariance,0.276711927,0.045087349,0.00271438,0.003616069,12.00099435,5.282869577
mask2_T1C_glcm_JointAverage,0.27586499,0.044078326,0.003867205,0.004342469,19.56156579,6.164738504
mask2_T1C_firstorder_Mean,0.275476833,0.044694266,0.00425857,0.004682807,20.48481019,7.422718379
mask2_T2_ngtdm_Contrast,0.275178521,0.042881274,0.004449563,0.005586624,5.831086517,7.700492979
mask2_T2_glcm_Idm,0.274959767,0.045542047,0.002514328,0.003913592,15.43956736,5.653263099
mask2_T1C_firstorder_Uniformity,0.274642526,0.044583146,0.00473529,0.00484779,13.23438512,4.542251126
mask2_T2_shape_Sphericity,0.274151654,0.043547413,0.008660085,0.007505454,39.77435391,10.02964915
mask2_T1C_glszm_GrayLevelNonUniformity,0.273882795,0.042332365,0.006530661,0.007562936,28.18690581,6.709892826
mask1_T2_glrlm_ShortRunHighGrayLevelEmphasis,0.272581918,0.043261637,0.003987592,0.004645501,19.10921426,6.569409373
mask1_T2_glcm_DifferenceEntropy,0.271952601,0.04268138,0.004539093,0.006065425,21.76227613,6.602725109
mask2_T1C_ngtdm_Strength,0.271663182,0.04179609,0.006277781,0.007797823,1.094268456,1.469539157
mask2_T1C_glrlm_RunLengthNonUniformity,0.271254126,0.044878043,0.004046827,0.006110911,23.59212896,6.27534541
mask2_T1C_glrlm_HighGrayLevelRunEmphasis,0.270612905,0.043404239,0.003361381,0.003772433,18.10198834,6.263255917
mask2_T2_ngtdm_Coarseness,0.270263656,0.047501573,0.001966558,0.003053975,0.862381413,1.226905967
mask1_T2_firstorder_Skewness,0.267386242,0.044422653,0.006037833,0.006781316,20.19273902,6.051905427
mask1_T2_glcm_JointAverage,0.266351507,0.043117032,0.004077261,0.004667113,17.37382715,6.223456339
mask1_T2_glcm_SumAverage,0.266351507,0.043117032,0.004221739,0.004823372,17.37382715,6.223456339
mask2_T1C_glszm_SizeZoneNonUniformity,0.266280565,0.043651979,0.003500589,0.004935038,19.36041401,5.325767808
mask1_T2_glrlm_RunLengthNonUniformityNormalized,0.265581631,0.04575093,0.002468112,0.003544047,8.749579892,3.846119703
mask1_T1C_firstorder_Uniformity,0.265069732,0.04248232,0.003366116,0.004410826,14.34566102,5.781381207
mask1_T2_firstorder_Minimum,0.265015061,0.042477763,0.003316605,0.004361893,13.97351186,4.986324403
mask2_T2_glcm_Idmn,0.264803083,0.042293343,0.00203575,0.003234619,4.656956925,5.15835651
mask2_T2_firstorder_Energy,0.264776378,0.042394187,0.00541154,0.00690987,18.61509344,7.81388086
mask1_T2_glcm_Autocorrelation,0.264621136,0.042661964,0.004187804,0.004640896,18.98546834,6.69066823
mask1_T2_firstorder_Maximum,0.264321823,0.043436512,0.002869622,0.003807349,13.55114474,4.65659833
mask2_T1C_firstorder_Median,0.264274787,0.043429609,0.005205835,0.005352862,24.94220539,8.567922122
mask2_T2_firstorder_MeanAbsoluteDeviation,0.26404929,0.045429415,0.003746111,0.004334297,9.302496167,3.446380211
mask2_T2_firstorder_Maximum,0.263761,0.042937709,0.005210777,0.006030943,18.9280629,5.860412544
