Feature,MI_mean,RF_mean,F_mean,total_mean
mask2_T1C_firstorder_Skewness,1,1,0.9244080911221239,0.9748026970407079
mask2_T2_shape_Sphericity,0.639940179768954,0.7876586252971132,1,0.8091996016886891
mask2_T2_shape_SurfaceArea,0.7363735187626618,0.5877310436976748,0.7401773918062418,0.6880939847555262
mask2_T1C_ngtdm_Busyness,0.8045720800620312,0.510230237392504,0.6702961530037129,0.6616994901527494
mask2_T1C_glcm_ClusterShade,0.7175935651326316,0.607039111898896,0.65649896904878,0.6603772153601025
mask2_T1C_glszm_GrayLevelNonUniformity,0.6381392535632145,0.5568061100315204,0.7037445552335122,0.6328966396094157
mask2_T2_shape_MajorAxisLength,0.4960826829021156,0.7714629221583501,0.6026488692282189,0.6233981580962281
mask1_T2_shape_Sphericity,0.7279119139508553,0.45195662484720855,0.5610563216850184,0.5803082868276941
mask1_T1C_firstorder_90Percentile,0.45180994996071155,0.8129472825483037,0.44598446456886776,0.5702472323592943
mask2_T1C_firstorder_Median,0.5737809341759026,0.4131806909561017,0.620787535036709,0.5359163867229045
mask2_T2_glrlm_GrayLevelNonUniformity,0.8506317261479698,0.26941780701255125,0.48143533656365306,0.533828289908058
mask1_T2_firstorder_Skewness,0.5946227168481535,0.5033782424986516,0.49935827298479735,0.5324530774438675
mask2_T2_shape_Maximum2DDiameterSlice,0.6835259310927276,0.4500534736168817,0.46180440539003964,0.5317946033665496
mask2_T1C_firstorder_Kurtosis,0.5188227798761161,0.5577676052329883,0.44876002222801353,0.5084501357790393
mask2_T1C_firstorder_RootMeanSquared,0.7410388097959578,0.29963113232348687,0.4693388843084425,0.5033362754759624
mask1_T2_glcm_DifferenceEntropy,0.6252100343190723,0.34089867115487293,0.5394865143877131,0.5018650732872194
mask2_T1C_glrlm_RunLengthNonUniformity,0.6205313665729532,0.2875317304799616,0.5862702289148889,0.4981111086559345
mask1_T1C_firstorder_Kurtosis,0.46900578462783676,0.5238371995327494,0.4976252131836756,0.4968227324480872
mask2_T2_firstorder_Energy,0.577140793345441,0.4354813303086726,0.45902272291775675,0.49054828219062346
mask2_T1C_firstorder_Mean,0.648816764106452,0.3104869541178479,0.5068256353949745,0.4887097845397581
mask2_T2_firstorder_Maximum,0.5703393812709666,0.4137164570273222,0.46702439039194615,0.4836934095634116
mask2_T1C_glrlm_RunEntropy,0.4541739708017775,0.41707892575758804,0.5517658691181158,0.4743395885591604
mask2_T1C_glcm_JointAverage,0.6514167965146703,0.2680587694834497,0.48322111281245955,0.46756555960352647
mask2_T2_shape_VoxelVolume,0.7554643319263358,0.2127994102453607,0.4282968100984969,0.46552018409006446
mask2_T1C_glrlm_LongRunHighGrayLevelEmphasis,0.5292326556868351,0.4081058739670485,0.4561678395198564,0.46450212305791333
mask2_T2_shape_MinorAxisLength,0.5493728408238895,0.3074078711646299,0.5301326302738363,0.4623044474207852
mask2_T2_shape_Maximum3DDiameter,0.5285678658817149,0.46613176788168037,0.3913549948044061,0.4620182095226005
mask1_T2_glrlm_ShortRunHighGrayLevelEmphasis,0.6294254538401491,0.28111001796908663,0.47165587406839554,0.46073044862587714
mask2_T2_shape_MeshVolume,0.6956348570824835,0.24343185162900746,0.42782854977711227,0.45563175282953444
mask1_T2_glcm_Id,0.5421114024567055,0.2981280168687172,0.5154925711952776,0.4519106635069001
mask1_T2_glcm_Autocorrelation,0.5761009197089573,0.3028151569110516,0.4684920711109835,0.44913604924366407
mask2_T1C_firstorder_10Percentile,0.3511219856872121,0.4089786891510623,0.5836257188887053,0.44790879790899324
mask2_T1C_glcm_Autocorrelation,0.5132715780226786,0.29290467711204526,0.5224243576094795,0.4428668709147345
mask2_T1C_firstorder_Uniformity,0.643228238745829,0.3621685408180135,0.3214545437342538,0.4422837744326988
mask2_T2_firstorder_Range,0.5362067995057087,0.29895313130984613,0.48903455861240774,0.4413981631426542
mask1_T2_glcm_SumAverage,0.587691643767112,0.3064940767060469,0.427287357749856,0.44049102607433827
mask1_T2_glcm_Idm,0.41602712258808816,0.3651409475644163,0.5275315282883958,0.4362331994803001
mask1_T2_glcm_JointAverage,0.587691643767112,0.29083110413668434,0.427287357749856,0.43527003521788415
mask2_T2_firstorder_10Percentile,0.6896771022956081,0.4576035255185422,0.14754125529036832,0.43160729436817286
mask1_T2_glcm_JointEntropy,0.4902789847092383,0.26447123997539074,0.5394229585854716,0.43139106109003356
mask2_T1C_glszm_SizeZoneNonUniformity,0.5872164455893032,0.2283136432255459,0.47807827984913687,0.43120278955466196
mask1_T1C_glszm_GrayLevelVariance,0.45561668645587344,0.3364724758582746,0.48550479653603873,0.42586465295006226
mask2_T1C_glrlm_HighGrayLevelRunEmphasis,0.616236209250452,0.21322199546300888,0.4459042020578917,0.4251208022571175
mask2_T1C_glrlm_ShortRunHighGrayLevelEmphasis,0.660970770355246,0.21178696197762942,0.3903098108849854,0.4210225144059536
mask2_T2_shape_Maximum2DDiameterColumn,0.3661512684637071,0.38857155246946207,0.4995094970142165,0.41807743931579516
mask1_T2_glcm_Idn,0.3645494724125998,0.31855141516721003,0.5230395377680491,0.4020468084492863
mask2_T2_glcm_JointEntropy,0.405376613311445,0.36693785623104497,0.42261014583399853,0.3983082051254962
mask1_T2_glcm_Idmn,0.5543726367570113,0.24559985039312454,0.3941903997829684,0.39805429564436806
mask1_T1C_firstorder_MeanAbsoluteDeviation,0.4271880636476724,0.41329636525759755,0.3387120837389778,0.3930655042147493
mask2_T1C_ngtdm_Strength,0.6232713889267332,0.529391192166237,0.011069061894609641,0.3879105476625266
mask2_T1C_glszm_GrayLevelVariance,0.5249448733071569,0.3055239086422363,0.3264379906822419,0.3856355908772117
mask2_T2_glcm_Idm,0.6453532471347428,0.12139231963834164,0.3778342780523182,0.3815266149418009
mask1_T1C_firstorder_Uniformity,0.579105796957589,0.2137353205029176,0.34986645403336264,0.38090252383128975
mask1_T2_glrlm_GrayLevelNonUniformityNormalized,0.48747531412048445,0.1983457599189087,0.44441903407182526,0.37674670270373944
mask2_T1C_ngtdm_Coarseness,0.7015555228063141,0.4190126488276729,0.009413457534799682,0.37666054305626223
mask1_T2_firstorder_Minimum,0.5787395885115486,0.20836779440979813,0.3403517434634594,0.37581970879493537
mask2_T2_shape_Maximum2DDiameterRow,0.4641531593293836,0.2469910859236734,0.4161042801423357,0.37574950846513094
mask2_T2_firstorder_Minimum,0.5119309527442135,0.30522707992855724,0.30325056772096143,0.3734695334645774
mask2_T2_ngtdm_Contrast,0.6468185498071857,0.33119265408559573,0.13217494554810252,0.370062049813628
mask1_T2_glcm_SumEntropy,0.48148376588534053,0.20526843864085403,0.4226907690943207,0.36981432454017177
mask1_T2_glcm_DifferenceAverage,0.2986045958433202,0.2938524041445441,0.5122517606524217,0.36823625354676204
mask1_T2_glrlm_HighGrayLevelRunEmphasis,0.47169232022553703,0.20811617299108046,0.4163359563893326,0.3653814832019833
mask2_T2_glrlm_GrayLevelVariance,0.6570899227180347,0.14308011285562125,0.289920531414731,0.3633635223294623
mask1_T2_glcm_Contrast,0.4599452286239979,0.23253895334813138,0.3802208282630908,0.3575683367450733
mask2_T2_firstorder_Entropy,0.4481359490395605,0.2107815604105516,0.4072418289345272,0.3553864461282131
mask1_T2_firstorder_Maximum,0.5740960003072694,0.15991001905319446,0.32955311395414233,0.35451971110486874
mask1_T1C_firstorder_RobustMeanAbsoluteDeviation,0.3657535641219764,0.3554285342591613,0.33851722719119254,0.35323310852411005
mask1_T2_firstorder_Uniformity,0.6634877224584355,0.14368688798727258,0.2500584314996758,0.35241101398179464
mask2_T2_ngtdm_Complexity,0.420198044611277,0.2717611060067702,0.36351303088883546,0.35182406050229426
