,mean,std
mask2_T2_shape_Sphericity,39.77435391,10.02964915
mask2_T1C_firstorder_Skewness,36.81772531,8.882844997
mask2_T2_shape_SurfaceArea,29.61190444,7.259967908
mask2_T1C_glszm_GrayLevelNonUniformity,28.18690581,6.709892826
mask2_T1C_ngtdm_Busyness,26.87863745,6.567453105
mask2_T1C_glcm_ClusterShade,26.33898778,9.641664166
mask2_T1C_firstorder_Median,24.94220539,8.567922122
mask2_T2_shape_MajorAxisLength,24.23274721,7.718102463
mask2_T1C_glrlm_RunLengthNonUniformity,23.59212896,6.27534541
mask2_T1C_firstorder_10Percentile,23.48869416,8.107660323
mask1_T2_shape_Sphericity,22.60593665,6.901155629
mask2_T1C_glrlm_RunEntropy,22.2425589,6.534435413
mask1_T2_glcm_DifferenceEntropy,21.76227613,6.602725109
mask1_T2_glcm_JointEntropy,21.75979027,5.913792748
mask2_T2_shape_MinorAxisLength,21.39641738,6.86320478
mask1_T2_glcm_Idm,21.2946804,6.385974251
mask1_T2_glcm_Idn,21.11898504,6.666855702
mask2_T1C_glcm_Autocorrelation,21.09492348,6.914711639
mask1_T2_glcm_Id,20.82380031,6.20987488
mask1_T2_glcm_DifferenceAverage,20.69704239,6.608305452
mask2_T1C_firstorder_Mean,20.48481019,7.422718379
mask2_T2_shape_Maximum2DDiameterColumn,20.19865385,6.842989492
mask1_T2_firstorder_Skewness,20.19273902,6.051905427
mask1_T1C_firstorder_Kurtosis,20.1249538,6.887687635
mask2_T2_firstorder_Range,19.78894727,5.61807216
mask1_T1C_glszm_GrayLevelVariance,19.65088758,6.700190382
mask2_T1C_glcm_JointAverage,19.56156579,6.164738504
mask2_T2_glrlm_GrayLevelNonUniformity,19.49171867,5.504020752
mask2_T1C_glszm_SizeZoneNonUniformity,19.36041401,5.325767808
mask1_T2_glrlm_ShortRunHighGrayLevelEmphasis,19.10921426,6.569409373
mask2_T1C_firstorder_RootMeanSquared,19.01858977,7.084671437
mask1_T2_glcm_Autocorrelation,18.98546834,6.69066823
mask2_T2_firstorder_Maximum,18.9280629,5.860412544
mask2_T2_shape_Maximum2DDiameterSlice,18.72389347,6.889820494
mask2_T2_firstorder_Energy,18.61509344,7.81388086
mask2_T1C_glrlm_LongRunHighGrayLevelEmphasis,18.5034303,8.383139275
mask2_T1C_firstorder_Kurtosis,18.21368812,6.595730153
mask1_T1C_firstorder_90Percentile,18.10512765,6.512734062
mask2_T1C_glrlm_HighGrayLevelRunEmphasis,18.10198834,6.263255917
mask1_T2_glrlm_GrayLevelNonUniformityNormalized,18.04389892,4.995047108
mask2_T2_shape_LeastAxisLength,17.63639889,5.838442917
mask2_T2_shape_VoxelVolume,17.41330989,5.765792552
mask2_T2_shape_MeshVolume,17.39499481,5.761334653
mask1_T2_glcm_JointAverage,17.37382715,6.223456339
mask1_T2_glcm_SumAverage,17.37382715,6.223456339
mask1_T2_glcm_SumEntropy,17.19404064,4.866131364
mask2_T2_glcm_JointEntropy,17.19088722,4.837084482
mask1_T2_glrlm_HighGrayLevelRunEmphasis,16.94548466,6.195288342
mask2_T2_shape_Maximum2DDiameterRow,16.9364231,6.063693798
mask2_T2_firstorder_Entropy,16.58978578,4.724504585
mask1_T2_firstorder_Entropy,16.58969875,4.876219412
mask1_T2_firstorder_Range,16.11187084,4.658388377
mask1_T2_glcm_Idmn,16.07930484,5.73039365
mask2_T2_shape_Maximum3DDiameter,15.96840356,6.295063219
mask2_T1C_glrlm_ShortRunHighGrayLevelEmphasis,15.92752325,5.746674884
mask2_T2_glcm_DifferenceEntropy,15.67067545,5.423471194
mask1_T2_glcm_Contrast,15.53291257,5.596040101
mask2_T2_glcm_Idm,15.43956736,5.653263099
mask2_T1C_glrlm_GrayLevelNonUniformity,15.16824324,5.154298524
mask2_T2_glcm_Id,14.98048583,5.564091054
mask2_T2_ngtdm_Complexity,14.87941999,6.131107673
mask1_T1C_firstorder_Uniformity,14.34566102,5.781381207
mask2_T2_glcm_ClusterTendency,14.06956272,5.61024779
mask1_T2_firstorder_Minimum,13.97351186,4.986324403
mask2_T1C_glrlm_GrayLevelNonUniformityNormalized,13.96673386,4.513746387
mask1_T1C_firstorder_InterquartileRange,13.93891362,5.27897523
mask1_T1C_firstorder_MeanAbsoluteDeviation,13.9093798,5.074778953
mask1_T1C_firstorder_RobustMeanAbsoluteDeviation,13.90175837,5.235476732
mask1_T1C_glrlm_GrayLevelNonUniformityNormalized,13.67653694,5.595934957
mask2_T1C_firstorder_Entropy,13.55410354,4.585942254
mask1_T2_firstorder_Maximum,13.55114474,4.65659833
mask2_T2_glrlm_RunPercentage,13.50828298,4.435034182
mask2_T1C_glszm_GrayLevelVariance,13.42930283,5.994347484
mask2_T2_glrlm_RunLengthNonUniformity,13.3824763,5.166933813
mask2_T2_glcm_SumSquares,13.30772314,5.549945407
mask2_T1C_firstorder_Uniformity,13.23438512,4.542251126
mask2_T2_glcm_SumEntropy,13.14350726,3.94843978
mask2_T2_glrlm_RunLengthNonUniformityNormalized,13.07135581,4.805032526
mask2_T1C_firstorder_Minimum,13.03544373,4.22516172
mask1_T2_firstorder_Kurtosis,12.71570174,3.806038556
mask2_T2_firstorder_Minimum,12.52237246,4.837206468
mask1_T2_ngtdm_Complexity,12.12327972,5.192848062
mask2_T2_glrlm_ShortRunEmphasis,12.03285921,4.153103283
mask2_T2_glrlm_GrayLevelVariance,12.00099435,5.282869577
mask1_T1C_glszm_GrayLevelNonUniformity,11.9737438,4.712450423
