,mean,std
mask2_T1C_firstorder_Skewness,0.010618759,0.008202782
mask1_T1C_firstorder_90Percentile,0.008893352,0.00837418
mask2_T2_shape_Sphericity,0.008660085,0.007505454
mask2_T2_shape_MajorAxisLength,0.008510693,0.009055766
mask2_T1C_glcm_ClusterShade,0.006994019,0.006255189
mask2_T2_shape_SurfaceArea,0.006815918,0.008144233
mask2_T1C_firstorder_Kurtosis,0.00653953,0.006178199
mask2_T1C_glszm_GrayLevelNonUniformity,0.006530661,0.007562936
mask2_T1C_ngtdm_Strength,0.006277781,0.007797823
mask1_T1C_firstorder_Kurtosis,0.00622655,0.006528071
mask1_T2_glcm_ClusterShade,0.006200377,0.00703049
mask2_T1C_ngtdm_Busyness,0.006101037,0.006831806
mask1_T2_firstorder_Skewness,0.006037833,0.006781316
mask2_T2_shape_Maximum3DDiameter,0.005694265,0.006883649
mask2_T2_firstorder_10Percentile,0.005615599,0.006113797
mask1_T2_shape_Sphericity,0.005563511,0.006967264
mask2_T2_shape_Maximum2DDiameterSlice,0.005545956,0.006699327
mask2_T2_firstorder_Energy,0.00541154,0.00690987
mask2_T1C_ngtdm_Coarseness,0.00525963,0.006757456
mask2_T1C_glrlm_RunEntropy,0.005241793,0.005041559
mask2_T2_firstorder_Maximum,0.005210777,0.006030943
mask1_T1C_firstorder_MeanAbsoluteDeviation,0.005206902,0.006188167
mask2_T1C_firstorder_Median,0.005205835,0.005352862
mask2_T1C_firstorder_10Percentile,0.005167075,0.005189415
mask2_T1C_glrlm_LongRunHighGrayLevelEmphasis,0.005159024,0.005065125
mask1_T2_shape_SurfaceVolumeRatio,0.005004915,0.005893979
mask2_T2_shape_Maximum2DDiameterColumn,0.004978836,0.005868373
mask2_T2_glcm_JointEnergy,0.004872211,0.00623499
mask2_T2_glcm_JointEntropy,0.004779283,0.006311116
mask1_T2_glcm_Idm,0.004762708,0.006517872
mask2_T1C_firstorder_Uniformity,0.00473529,0.00484779
mask1_T1C_firstorder_RobustMeanAbsoluteDeviation,0.004673119,0.005263417
mask1_T1C_firstorder_InterquartileRange,0.004606073,0.005284891
mask2_T2_shape_Flatness,0.004554404,0.004777116
mask1_T2_glcm_DifferenceEntropy,0.004539093,0.006065425
mask1_T1C_firstorder_RootMeanSquared,0.004516304,0.004682485
mask1_T1C_glszm_GrayLevelVariance,0.004498265,0.004999332
mask1_T1C_firstorder_Skewness,0.004454743,0.005278976
mask2_T2_ngtdm_Contrast,0.004449563,0.005586624
mask1_T2_glrlm_LongRunLowGrayLevelEmphasis,0.004364627,0.005321306
mask1_T2_glcm_Idn,0.004332958,0.005813592
mask2_T1C_glcm_MaximumProbability,0.004276164,0.004631176
mask2_T1C_firstorder_Mean,0.00425857,0.004682807
mask1_T1C_firstorder_Variance,0.004230834,0.004818844
mask2_T2_shape_MinorAxisLength,0.004230168,0.006030837
mask1_T2_glcm_SumAverage,0.004221739,0.004823372
mask2_T1C_glszm_GrayLevelVariance,0.00421279,0.005627008
mask2_T2_firstorder_Minimum,0.004210052,0.004661503
mask1_T2_glcm_Autocorrelation,0.004187804,0.004640896
mask2_T1C_glcm_JointEnergy,0.00416555,0.004534573
mask2_T1C_firstorder_RootMeanSquared,0.004158434,0.004406541
mask2_T2_firstorder_Range,0.00415218,0.004903592
