,0
0,mask1_T2_firstorder_10Percentile
1,mask1_T2_firstorder_InterquartileRange
2,mask1_T2_glcm_Autocorrelation
3,mask1_T2_glcm_Idn
4,mask1_T2_glcm_Imc2
5,mask1_T2_glcm_InverseVariance
6,mask1_T2_glcm_JointAverage
7,mask1_T2_glcm_SumSquares
8,mask1_T2_glszm_GrayLevelNonUniformity
9,mask1_T2_glszm_HighGrayLevelZoneEmphasis
10,mask1_T2_glszm_SmallAreaHighGrayLevelEmphasis
11,mask1_T2_glszm_ZoneEntropy
12,mask1_T2_glrlm_LongRunLowGrayLevelEmphasis
13,mask1_T2_glrlm_ShortRunLowGrayLevelEmphasis
14,mask1_T2_ngtdm_Coarseness
15,mask1_T2_ngtdm_Complexity
16,mask1_T2_shape_Flatness
17,mask1_T2_shape_LeastAxisLength
18,mask1_T2_shape_Maximum2DDiameterColumn
19,mask1_T2_shape_Maximum2DDiameterRow
20,mask1_T1C_firstorder_90Percentile
21,mask1_T1C_firstorder_Energy
22,mask1_T1C_firstorder_Kurtosis
23,mask1_T1C_firstorder_MeanAbsoluteDeviation
24,mask1_T1C_firstorder_Median
25,mask1_T1C_firstorder_RobustMeanAbsoluteDeviation
26,mask1_T1C_firstorder_Skewness
27,mask1_T1C_glcm_Contrast
28,mask1_T1C_glcm_InverseVariance
29,mask1_T1C_glszm_GrayLevelVariance
30,mask1_T1C_glszm_LowGrayLevelZoneEmphasis
31,mask1_T1C_glszm_ZonePercentage
32,mask1_T1C_glrlm_RunLengthNonUniformity
33,mask2_T2_firstorder_90Percentile
34,mask2_T2_firstorder_Energy
35,mask2_T2_firstorder_InterquartileRange
36,mask2_T2_firstorder_MeanAbsoluteDeviation
37,mask2_T2_firstorder_Minimum
38,mask2_T2_glcm_ClusterProminence
39,mask2_T2_glszm_SizeZoneNonUniformityNormalized
40,mask2_T2_glszm_SmallAreaEmphasis
41,mask2_T2_glszm_SmallAreaHighGrayLevelEmphasis
42,mask2_T2_glrlm_HighGrayLevelRunEmphasis
43,mask2_T2_glrlm_RunEntropy
44,mask2_T2_ngtdm_Complexity
45,mask2_T2_shape_Flatness
46,mask2_T2_shape_MajorAxisLength
47,mask2_T1C_firstorder_10Percentile
48,mask2_T1C_firstorder_90Percentile
49,mask2_T1C_firstorder_Kurtosis
50,mask2_T1C_firstorder_Skewness
51,mask2_T1C_firstorder_Uniformity
52,mask2_T1C_glcm_Correlation
53,mask2_T1C_glcm_InverseVariance
54,mask2_T1C_glcm_MCC
55,mask2_T1C_glcm_MaximumProbability
56,mask2_T1C_glszm_GrayLevelNonUniformity
57,mask2_T1C_glszm_SizeZoneNonUniformity
58,mask2_T1C_glrlm_RunEntropy
59,mask2_T1C_ngtdm_Busyness
60,mask2_T1C_ngtdm_Complexity
